Hotel Name,Room Type,Single Bed,Double Bed,Price
Thistle London Holborn,Standard Double Room,No,Yes,"₹ 27,627"
Mercure London Hyde Park Hotel,Standard King Room,No,Yes,"₹ 28,388"
Centel - Excellent Stay in London Zone 1,Superior Double Room,No,Yes,"₹ 7,351"
NOX Golders Green,Double Studio,No,Yes,"₹ 9,141"
DoubleTree by Hilton London Angel Kings Cross,Superior Queen Room,No,Yes,"₹ 30,528"
Pestana Chelsea Bridge Hotel,Superior Twin Room,Yes,No,"₹ 27,541"
The Pig and Whistle,Deluxe Double Room,No,Yes,"₹ 13,204"
Anchor Guest House,Budget Compact Double Room,No,Yes,"₹ 9,385"
"Radisson Blu Edwardian Mercer Street Hotel, London",Superior Double or Twin Room,Yes,Yes,"₹ 35,194"
"Club Quarters Hotel Trafalgar Square, London",Small Queen Room,No,Yes,"₹ 26,936"
"The Rathbone Hotel, Fitzrovia",Small Double Room,No,Yes,"₹ 29,354"
"OYO Townhouse New England, London Victoria",Standard Twin Room,Yes,No,"₹ 11,538"
Mercure London Bloomsbury Hotel,Small Double Room,Yes,No,"₹ 30,974"
"InterContinental London Park Lane, an IHG Hotel",Cosy Room,No,Yes,"₹ 38,774"
Fraser Suites Queens Gate,Studio Deluxe,No,Yes,"₹ 22,378"
The Z Hotel Piccadilly,Double Room,No,Yes,"₹ 20,314"
Kip Hotel,Small Double Room,No,Yes,"₹ 12,165"
COMO Metropolitan London,Double Deluxe Room,No,Yes,"₹ 43,573"
The Gore London - Starhotels Collezione,Superior Double Room,No,Yes,"₹ 34,534"
Dog and Fox,Double Room,No,Yes,"₹ 14,118"
King Solomon Hotel- Golders Green,Small Double Room,No,Yes,"₹ 7,770"
Hotel Edward Paddington,Double Room,No,Yes,"₹ 13,675"
"11 Cadogan Gardens, The Apartments and The Chelsea Townhouse by Iconic Luxury Hotels",Superior Queen Room at 11 Cadogan Gardens,No,Yes,"₹ 45,706"
The Z Hotel Holborn,Z Inside Double (without a window),No,Yes,"₹ 22,345"
The Hari London,Superior King Room,No,Yes,"₹ 45,097"
Canopy by Hilton London City,Premium Queen Room,No,Yes,"₹ 46,222"
Notting Hill House,Deluxe Studio,No,No,"₹ 18,790"
Bentley London,Queen Room,No,Yes,"₹ 30,369"
Assembly Covent Garden,Superior Double Room without Windows,No,Yes,"₹ 20,000"
Redchurch Townhouse,Tiny,No,Yes,"₹ 34,664"
Vintry & Mercer,Standard Double Room,No,Yes,"₹ 36,108"
Vintry & Mercer,Standard Double Room,No,Yes,"₹ 36,108"
Citadines Barbican London,Classic Double or Twin Room,Yes,Yes,"₹ 32,401"
The Park City Grand Plaza Kensington Hotel,Deluxe Double Room,No,Yes,"₹ 14,717"
The Brook Green Hotel,Double Room,No,Yes,"₹ 13,102"
H10 London Waterloo,Double Room,Yes,Yes,"₹ 25,392"
London Marriott Hotel Grosvenor Square,"Deluxe King, Guest room, 1 King",No,Yes,"₹ 40,491"
Royal Garden Hotel,Classic Double,No,Yes,"₹ 26,401"
Marlin Apartments London Bridge - Empire Square,One-Bedroom Apartment,No,Yes,"₹ 23,259"
Hotel Xanadu,Double Room,No,Yes,"₹ 13,675"
Roseate House London,Double Room,No,Yes,"₹ 28,206"
Hatton Garden Hotel,Small Double Room,No,Yes,"₹ 19,829"
The Fox & Goose Hotel,Double Room,No,Yes,"₹ 14,992"
Hand & Flower,Luxury Double Room,No,Yes,"₹ 22,752"
The Academy - Small Luxury Hotels of the World,Bloomsbury King Room,No,Yes,"₹ 38,302"
The Marylebone Hotel,Twin Room,Yes,No,"₹ 56,371"
CitySpace Tower Bridge,Double Room without Window,No,Yes,"₹ 12,680"
Prince William Hotel,Double Room,No,Yes,"₹ 11,071"
Henley House Hotel,Small Double Room,No,Yes,"₹ 19,202"
Seven Dials Hotel,Double En Suite in Basement,No,Yes,"₹ 11,396"
"OYO Abbey Hotel, London Shepherd's Bush Market",Standard Twin Room,Yes,No,"₹ 10,171"
Meliá London Kensington Member of Meliá Collection,Cosy Room,No,Yes,"₹ 28,338"
The Mandrake,Mandrake Room,No,Yes,"₹ 50,333"
Garden View Hotel,Double Room,No,Yes,"₹ 8,263"
Spread Eagle,Double Room,No,Yes,"₹ 13,102"
Antoinette Hotel Wimbledon,Snug Double Room,No,Yes,"₹ 12,595"
Garden Court Hotel,Twin Room,Yes,No,"₹ 24,573"
Mabledon Court Hotel,Double Room,No,Yes,"₹ 11,681"
Kings Cross Inn Hotel,Double Room,No,Yes,"₹ 11,682"
The Park Hotel,Deluxe Double Room,No,Yes,"₹ 12,066"
54 Queen's Gate Hotel,Deluxe Double Room,No,Yes,"₹ 22,991"
Best Western Northfields Ealing Hotel,Standard Queen Room,No,Yes,"₹ 13,000"
Rafayel Hotel & Spa,Standard Double Room,No,Yes,"₹ 20,019"
Georgian House Hotel,Comfy Double/Twin Room,Yes,Yes,"₹ 20,703"
The Montana Hotel,Classic Twin Room,Yes,No,"₹ 25,167"
Park Plaza County Hall London,Superior Double Room,No,Yes,"₹ 23,676"
ibis London Greenwich,Standard Double Room,No,Yes,"₹ 18,892"
London Stay Apartments,Budget Double Room,No,Yes,"₹ 11,096"
Novotel London West,Superior Queen Room,No,Yes,"₹ 27,636"
Karma Sanctum Soho Hotel,Budget Double or Twin Room,No,Yes,"₹ 38,996"
Troy Hotel,Standard Double City View,No,Yes,"₹ 10,605"
Palace Court Hotel,Small Double Room,Yes,No,"₹ 8,136"
ibis London Wembley,Double Room,No,Yes,"₹ 9,251"
Belmont Hotel,Double Room,No,Yes,"₹ 9,672"
ibis London Blackfriars,Standard Double Room,No,Yes,"₹ 21,253"
Comfort Inn Victoria,Double Room,No,Yes,"₹ 16,667"
The House of Toby,Deluxe Quadruple Room,Yes,Yes,"₹ 26,053"
The Resident Kensington,Small Double Room,No,Yes,"₹ 18,079"
Blakemore Hyde Park,Club Double Room,No,Yes,"₹ 27,347"
Mimi's Hotel Soho,MiMi's Cosy,No,Yes,"₹ 24,986"
Sonder The Voyage,Double Room,No,Yes,"₹ 24,319"
"The Trafalgar St. James, London Curio collection by Hilton",St. James Family King Room,No,Yes,"₹ 71,510"
Thistle London Piccadilly,Standard Double Room,No,Yes,"₹ 31,080"
The Cranley Hotel,Superior Double Room,No,Yes,"₹ 14,957"
Marrable's Hotel,Club Double Room,No,Yes,"₹ 31,903"
Albro House Hotel,Double Room,No,Yes,"₹ 12,811"
The Melita,Classic Double Room,No,Yes,"₹ 18,648"
"Club Quarters Hotel Covent Garden Holborn, London",Small Queen Room,No,Yes,"₹ 28,277"
"The Park Tower Knightsbridge, a Luxury Collection Hotel, London","Classic Room, Guest room, 1 King",No,Yes,"₹ 41,034"
Rhodes Hotel,Small Double Room,No,Yes,"₹ 12,726"
Cromwell International Hotel,Superior Double Room,No,Yes,"₹ 10,826"
The Brewers Inn,Double Room,No,Yes,"₹ 13,102"
The Long Room Hotel and Bar,Double Room with Private Bathroom,No,Yes,"₹ 8,024"
Mornington Victor Hotel London Belgravia,Economy Double Room,No,Yes,"₹ 12,346"
Victoria Inn,Double Room,No,Yes,"₹ 11,427"
The Corner London City,Standard Double Room without Window,No,Yes,"₹ 18,486"
The Coach,Standard Double Room,No,Yes,"₹ 19,806"
City Sleeper at Royal National Hotel,Standard Double Room,No,Yes,"₹ 19,298"
Aragon House,Standard Double Room,No,Yes,"₹ 15,290"
Hotel Lily,Twin Room,Yes,No,"₹ 8,137"
The Tudor Inn Hotel,Deluxe Double Room,No,Yes,"₹ 13,204"
Malmaison London,Standard Double Room,No,Yes,"₹ 26,117"
Days Inn Hyde Park,Double Room with Two Double Beds - Non-Smoking,No,Yes,"₹ 17,300"
The Z Hotel Tottenham Court Road,Double Room,No,Yes,"₹ 19,806"
MSK Hotel 82,Standard Twin Room,Yes,No,"₹ 15,955"
The Rockwell,Superior Double Room,No,Yes,"₹ 13,204"
St George Hotel,Standard Double Room,No,Yes,"₹ 10,055"
Days Inn Hyde Park,Double Room with Two Double Beds - Non-Smoking,No,Yes,"₹ 17,300"
Hotel Oliver,Double Room,No,Yes,"₹ 11,112"
The Station Hotel,Double Room,No,Yes,"₹ 10,055"
"Great Scotland Yard Hotel, part of Hyatt",Deluxe King Room,No,Yes,"₹ 54,746"
Staycity Aparthotels Greenwich High Road,Studio (2 Adults),Yes,Yes,"₹ 15,540"
MSK Hotel 82,Standard Twin Room,Yes,No,"₹ 15,955"
Hilton London Bankside,King Guest Room,No,Yes,"₹ 33,577"
Blackbird,Superior King Room,No,Yes,"₹ 26,418"
Blades Hotel,Double Room,No,Yes,"₹ 14,626"
Rushmore Hotel,Small Double Room,No,Yes,"₹ 11,282"
Pelican London Hotel and Residence,Cosy Double Room,No,Yes,"₹ 8,886"
Dockside Hotel,Small Double Room,No,Yes,"₹ 11,679"
Queens Hotel,Double Room,No,Yes,"₹ 12,346"
Coach & Horses Hotel,Double Room,No,Yes,"₹ 16,454"
Hotel La Place,King-Size Double Room,No,Yes,"₹ 29,051"
Dover Hotel - B&B,Double Room,No,Yes,"₹ 14,197"
Trebovir Hotel,Twin Room,Yes,No,"₹ 17,812"
Rose And Crown Hotel,Double Room,No,Yes,"₹ 13,771"
AMANO Covent Garden,Double Room,No,Yes,"₹ 29,892"
The Z Hotel Shoreditch,Double Room without Window,No,Yes,"₹ 15,235"
Novotel London Waterloo,Superior Queen Room with Sofa,No,Yes,"₹ 22,752"
Mermaid Suite Hotel,Double Room,No,Yes,"₹ 13,542"
"Radisson Blu Edwardian Bond Street Hotel, London",Standard Double/Twin Room,Yes,Yes,"₹ 33,731"
The Ship Rooms,Superior Double Room,No,Yes,"₹ 14,720"
Earls Court West Serviced Apartments,Small Studio Apartment,No,Yes,"₹ 12,170"
St George's Inn Victoria,Double Standard,No,Yes,"₹ 15,664"
Melia White House Hotel,Deluxe Double Room,No,Yes,"₹ 32,299"
"Holiday Inn London West, an IHG Hotel",Double Room,No,Yes,"₹ 12,518"
Royal Eagle Hotel,Twin Room,Yes,No,"₹ 11,798"
"Holiday Inn Express Earls Court, an IHG Hotel",Standard Double or Twin Room,Yes,Yes,"₹ 17,699"
NOX West End Lane I,Double Studio,No,Yes,"₹ 9,954"
"The Clermont London, Charing Cross",Deluxe King Room,No,Yes,"₹ 38,800"
Clayton Hotel City of London,Deluxe Double Room,No,Yes,"₹ 36,108"
The Bedford Balham - Live Music Venue,Standard King Room,No,Yes,"₹ 13,102"
Tony's House Hotel,Double Room,No,Yes,"₹ 8,833"
Classic Hyde Park Hotel,Double Room,No,Yes,"₹ 12,392"
Bermondsey Square Hotel - A Bespoke Hotel,Superior Double Room,No,Yes,"₹ 22,991"
New Linden Hotel,Double Standard,No,Yes,"₹ 14,755"
The Franklin London - Starhotels Collezione,Superior Double Room,No,Yes,"₹ 43,675"
New Road Hotel,Small Double Room,No,Yes,"₹ 29,725"
Croft Court Hotel,Small Double Room,No,Yes,"₹ 12,821"
Tudor Court Hotel,Triple Room with Garden View,Yes,Yes,"₹ 16,064"
The Exhibitionist Hotel,Standard Double Room,No,Yes,"₹ 34,432"
DoubleTree by Hilton Hotel London - Tower of London,Queen Room,No,Yes,"₹ 31,916"
St Martins Lane London,Standard,No,Yes,"₹ 42,671"
Dao by Dorsett West London,Standard Studio,No,Yes,"₹ 17,972"
The Guardsman - Preferred Hotels and Resorts,Superior Double Room,No,Yes,"₹ 43,211"
The Princess Victoria,Deluxe King Room,No,Yes,"₹ 12,251"
Novotel London Wembley,Superior Queen Room with Sofa,No,Yes,"₹ 15,449"
Novotel London Wembley,Superior Queen Room with Sofa,No,Yes,"₹ 15,449"
NoMad London,Classic Room,No,Yes,"₹ 59,093"
Lord Kensington Hotel,Standard Double Room,No,Yes,"₹ 15,652"
London hotel,Double Room,No,Yes,"₹ 10,352"
Andaz London Liverpool Street - a Concept by Hyatt,Deluxe King Room,No,Yes,"₹ 60,434"
Aptel East,Standard Studio,No,Yes,"₹ 21,202"
Byron Hotel,Standard Double Room,No,Yes,"₹ 17,350"
The Westin London City,Signature King Room,No,Yes,"₹ 56,219"
Hotel 63,Twin Room with Lake View,Yes,No,"₹ 22,777"
Star Hotel,Double Room,No,Yes,"₹ 11,016"
The Chapter - Mayfair Residence,Double Room with Shared Bathroom,No,Yes,"₹ 13,771"
Egerton House,Classic Double,No,Yes,"₹ 47,769"
"Dorset Square Hotel, Firmdale Hotels",Superior Room,No,Yes,"₹ 33,518"
Luna And Simone Hotel,Triple Room,No,No,"₹ 31,245"
Marble Arch Inn,Double Room,No,Yes,"₹ 16,496"
The Level at Melia White House,The Level Premium Room,No,Yes,"₹ 42,964"
The Chapter Hotels - Hyde Park,Deluxe Studio,Yes,Yes,"₹ 9,832"
Beaconsfield Hotel,Double Room,No,Yes,"₹ 8,136"
Park Avenue Hotel,Twin Room,Yes,Yes,"₹ 15,983"
Jumeirah Lowndes Hotel,Superior Double Room,Yes,Yes,"₹ 42,659"
Baglioni Hotel London - The Leading Hotels of the World,Deluxe Double Room,Yes,Yes,"₹ 44,383"
Mayflower Hotel,Small Double Room,No,Yes,"₹ 11,579"
Carlton Hotel,Double Room Ensuite,No,Yes,"₹ 9,972"
Oliver Plaza Hotel,Double Room,No,Yes,"₹ 21,239"
Gainsborough Hotel,Double Room,No,Yes,"₹ 18,899"
Crane Court by City2Stay,Classic Studio Apartment,No,Yes,"₹ 18,283"
The Lincoln Suites,Apartment,No,Yes,"₹ 32,817"
Hyde Park Executive Apartments,Standard Double Studio,No,Yes,"₹ 10,651"
London Olympus Hotel Nirvana,Double Room,No,Yes,"₹ 9,022"
Comfotel GRN,Double Room,No,Yes,"₹ 9,050"
Tulse Hill Hotel,Standard Double Room,No,Yes,"₹ 12,341"
Bloomsbury Palace Hotel,Double Room,No,Yes,"₹ 17,307"
Thistle London Marble Arch,Deluxe King Room,No,Yes,"₹ 30,369"
The Crown and Sceptre,Deluxe Double Room,No,Yes,"₹ 12,341"
Haringey Victorian House,Double Room,No,Yes,"₹ 6,704"
The Knaresborough by Aura Collection,Studio Apartment Lower Ground Floor,No,Yes,"₹ 17,474"
The Leonard Hotel,Classic Double Room,No,Yes,"₹ 26,117"
Holmes Hotel London,Double Room,No,Yes,"₹ 31,903"
Harlingford Hotel,Double Room with Private Bathroom,No,Yes,"₹ 14,720"
Conrad London St James,Deluxe King Room,No,Yes,"₹ 42,210"
The Goring,Superior Double or Twin Room,No,Yes,"₹ 76,787"
Park Avenue Inn Craven London Hyde Park,Double Room,No,Yes,"₹ 10,257"
Park Avenue J Hotel London Hyde Park,Superior Double Room,No,Yes,"₹ 14,587"
"The May Fair, A Radisson Collection Hotel, Mayfair London",Collection Superior Room,Yes,Yes,"₹ 40,679"
Stylotel,Twin Styloroom,Yes,No,"₹ 15,100"
The Tommyfield Hotel,Double Room,No,Yes,"₹ 15,134"
Pullman London St Pancras,Classic King Room,No,Yes,"₹ 41,440"
Lansbury Heritage Hotel,Lansbury Classic,No,Yes,"₹ 36,847"
wembar Hotel,Standard Double Room,No,Yes,"₹ 8,643"
Chateau Denmark,Superior Room,No,Yes,"₹ 37,987"
Hyde Park Boutique Hotel,Double Room,No,Yes,"₹ 12,726"
Wns Hotel Canary Wharf,Deluxe Double Room,No,Yes,"₹ 8,024"
MSK Elite,Superior Studio,No,Yes,"₹ 16,325"
Flemings Mayfair - Small Luxury Hotel of the World,Executive King Room,No,No,"₹ 52,105"
Grange Beauchamp Hotel,Classic Double Room,No,Yes,"₹ 24,253"
Hotel du Vin Cannizaro House Wimbledon,Classic Double Room,No,Yes,"₹ 15,670"
Peckham Rooms Hotel,Double Room with Shared Bathroom,No,Yes,"₹ 7,123"
Collingham Serviced Apartments,One-Bedroom Apartment,No,Yes,"₹ 30,369"
Point A Kensington Olympia,Cosy Double Without Window,No,Yes,"₹ 13,204"
30 willesden lane,Double Room,No,Yes,"₹ 7,265"
"OYO 24 Sussex, London Paddington",Standard Twin Room,Yes,No,"₹ 9,573"
Hyatt Regency London Blackfriars,King Room with High Street View,No,Yes,"₹ 45,615"
The Crown Hotel,Deluxe Double Room,No,Yes,"₹ 11,881"
Bulgari Hotel London,Superior King Room,No,Yes,"₹ 158,449"
"Lost Property St Pauls London, Curio Collection By Hilton",Deluxe King Room,No,Yes,"₹ 37,837"
The Stafford London,Deluxe King Room,No,No,"₹ 67,807"
Hotel Cavendish,Double Room,No,Yes,"₹ 14,531"
Westbury Hotel Kensington,Double Room,No,Yes,"₹ 11,681"
Park Plaza Westminster Bridge London,Superior Double Room with Internal View,No,Yes,"₹ 29,343"
The Windmill On The Common,Double Room,No,Yes,"₹ 17,165"
Marlin Apartments London City - Queen Street,Studio Apartment,No,Yes,"₹ 29,354"
"Holiday Inn Express London Victoria, an IHG Hotel",Double Room with Sofa Bed,No,Yes,"₹ 18,044"
nhow London,nhow Superior Room,Yes,Yes,"₹ 30,781"
The Warrington Hotel,Standard King Room,No,Yes,"₹ 16,089"
Park Avenue Baker Street,Deluxe Double Room,No,Yes,"₹ 15,499"
London Lodge Hotel,Superior Double Room,No,Yes,"₹ 23,733"
Arran House Hotel,Twin Room with Shared Bathroom,Yes,No,"₹ 12,346"
Arriva Hotel,Double Room,No,Yes,"₹ 8,975"
Hotel Cafe Royal,Deluxe King Room,No,Yes,"₹ 96,491"
London Marriott Hotel Canary Wharf,"Deluxe Room, Guest room, 1 King",No,Yes,"₹ 40,547"
MSK Superior,Deluxe Studio,No,Yes,"₹ 14,435"
Euro Hotel,En Suite Triple Room,Yes,Yes,"₹ 27,303"
Howard Winchester Hotel,Double Room,No,Yes,"₹ 13,771"
The Grapevine Hotel,Double Ensuite,No,Yes,"₹ 9,022"
Royal Cambridge Hotel,Basic Double Room,No,Yes,"₹ 10,195"
Wilde Aparthotels by Staycity London Paddington,Wilde Studio,No,Yes,"₹ 27,424"
OYO The Green Man Pub And Hotel,Standard Double Room,No,Yes,"₹ 9,316"
St. David's Hotels Paddington,Standard Double Room,No,Yes,"₹ 11,112"
Islington Inn,Double Room,No,Yes,"₹ 11,396"
Corus Hyde Park Hotel,Standard Double Room,No,Yes,"₹ 19,339"
Monopoly,Double Room with Shared Bathroom,No,Yes,"₹ 9,054"
London Bridge Hotel,Standard Double Room,No,Yes,"₹ 40,912"
Orlando hotel,Standard Twin Room,Yes,No,"₹ 7,977"
"Holiday Inn Express London - Wandsworth, an IHG Hotel",Double Room,No,Yes,"₹ 14,219"
Aaraya London,Double Room,No,Yes,"₹ 11,427"
Hyde Park Green,Deluxe Triple Room,Yes,Yes,"₹ 18,420"
OYO Boston Court Hotel,Standard Double Room,No,Yes,"₹ 9,914"
Hyde Park Court Hotel,Twin Room,Yes,No,"₹ 8,073"
Mowbray Court Hotel,Triple Room,Yes,Yes,"₹ 32,086"
Mercure London Bridge,Standard Double Room,No,Yes,"₹ 25,976"
"The Dixon, Tower Bridge, Autograph Collection",Twin Room,Yes,No,"₹ 39,153"
Eurotraveller Hotel - Premier - Tower Bridge,Double Room,No,Yes,"₹ 14,720"
Farringdon Laceby apartments,One-Bedroom Apartment,No,Yes,"₹ 22,602"
Superior Entire Apartment Between St Pauls Cathedral and Covent Garden,Deluxe Apartment,No,Yes,"₹ 26,357"
London comfy doubles,Apartment With Shared Bathroom,No,Yes,"₹ 13,082"
Sonder The Henry,Queen Room,No,Yes,"₹ 27,761"
Wilde Aparthotels by Staycity London Aldgate Tower Bridge,Wilde Studio Accessible,No,Yes,"₹ 25,596"
Hyatt Place London City East,King Room,No,Yes,"₹ 31,608"
Mansion House with Spacious Apartments close to Excel London and CanaryWharf,Superior King Suite,Yes,Yes,"₹ 72,318"
Aparthotel Adagio London Stratford,Studio,No,Yes,"₹ 24,072"
Middle Eight - Preferred Hotels and Resorts,Urban Deluxe,No,Yes,"₹ 47,484"
Pan Pacific London,Premier,No,Yes,"₹ 92,327"
Sonder Edgware Road,Double Room,No,Yes,"₹ 21,801"
"Page8, Page Hotels",Double Room,No,Yes,"₹ 37,607"
The Chronicle by Supercity Aparthotels,Studio,No,Yes,"₹ 28,490"
Nevern Place by Supercity Aparthotels,Studio Apartment,No,Yes,"₹ 20,822"
"Bankside Hotel, Autograph Collection",Modest Double,No,Yes,"₹ 52,928"
London City Airport Hotel,Double Room,No,Yes,"₹ 36,753"
"Hotel Indigo London - 1 Leicester Square, an IHG Hotel",Premium Room,No,Yes,"₹ 40,922"
Mondrian London Shoreditch,Standard King Courtyard Room - Accessible,No,Yes,"₹ 40,526"
Nobu Hotel London Shoreditch,Deluxe Room,No,Yes,"₹ 52,207"
The Henrietta Hotel,Standard King Room,No,Yes,"₹ 38,896"
The LaLit London,Junior Classroom,No,Yes,"₹ 37,479"
Point A Hotel London Shoreditch,Double Room - No Window,No,Yes,"₹ 20,416"
Hotel Sergul,Twin Room with Garden View,Yes,No,"₹ 17,267"
WOLO Kuala Lumpur,Copper King without window,No,Yes,"₹ 5,317"
Astar Hotel Bukit Bintang,Standard Queen Room,No,Yes,"₹ 1,875"
JW Marriott Kuala Lumpur,Superior King Room,No,Yes,"₹ 7,203"
"Pavilion Ceylon Hill Suites, Bukit Bintang",1 Bedroom Executive Suite,No,Yes,"₹ 2,217"
Hilton Garden Inn Kuala Lumpur - South,Queen Room,No,Yes,"₹ 2,462"
LA ISRA at KL,Standard Double Room,No,Yes,"₹ 1,575"
"The Majestic Hotel Kuala Lumpur, Autograph Collection",Deluxe King Room,No,Yes,"₹ 6,639"
Chambers Suites KL,Studio with Balcony,No,Yes,"₹ 2,534"
AC Hotel by Marriott Kuala Lumpur,Prime Deluxe King Room with Sofa Bed,No,Yes,"₹ 3,645"
Perdana Kuala Lumpur City Centre,Studio Room Queen (2 pax breakfast included),No,Yes,"₹ 4,339"
Hotel MSP,Queen Room,No,Yes,"₹ 1,715"
Expressionz Premium Suites @ KLCC,Superior Studio,No,Yes,"₹ 2,402"
Peak Suites At Times Square,Executive Suite,No,Yes,"₹ 3,176"
ORKID Hills at Pudu,Standard Double Room,No,Yes,"₹ 1,715"
The Platinum KLCC by Minshuku,Deluxe Family Suite,No,Yes,"₹ 7,016"
STAYS HOTEL,Deluxe Queen Room,No,Yes,"₹ 2,171"
M Resort & Hotel Kuala Lumpur,Standard Block View King,No,Yes,"₹ 5,302"
ECO HOTEL at BB,Standard Double Room,No,Yes,"₹ 1,484"
Hilton Garden Inn Kuala Lumpur - North,Queen Room,No,Yes,"₹ 2,430"
ibis Kuala Lumpur City Centre,Standard Queen Room,No,Yes,"₹ 3,498"
Komune Living,Dreamer Studio,No,Yes,"₹ 2,948"
ECO HOTEL at BUKIT BINTANG,Standard Double or Twin Room,No,Yes,"₹ 1,715"
Sleeping Lion Suites,Superior Twin Room,Yes,No,"₹ 3,435"
Raissa Boutique Hotel,Standard Twin Room,Yes,No,"₹ 2,191"
"InterContinental Kuala Lumpur, an IHG Hotel",Classic Room,No,Yes,"₹ 7,899"
Perdana Kuala Lumpur City Centre,Studio Room Queen (2 pax breakfast included),No,Yes,"₹ 4,339"
"Santa Grand Classic Kuala Lumpur, Chinatown",Superior Queen Room,No,Yes,"₹ 2,610"
Santa Grand Signature Kuala Lumpur,Bong Soo Standard Queen,No,Yes,"₹ 3,775"
Arte by Thomas Chan,Glam IX,No,Yes,"₹ 7,522"
Rainbow Suite BTS Bukit Bingtang,Deluxe Studio,No,Yes,"₹ 2,487"
Double M Hotel @ Kl Sentral,Superior Double Room,No,Yes,"₹ 1,206"
City Central Hotel,Deluxe Queen Room : Sky Garden / Gym / Hassle Free Check-in / Free Wifi,No,Yes,"₹ 2,245"
Xpeed Holiday Hotel,Standard Double Room,No,Yes,"₹ 1,575"
Chill Suites Kuala Lumpur,Queen Room,No,Yes,"₹ 2,883"
DoubleTree By Hilton Kuala Lumpur,Twin Room,Yes,No,"₹ 6,422"
A&R Urban Hotel,Double Room with Balcony,No,Yes,"₹ 2,128"
Mars Hotel,Standard Queen Room,No,Yes,"₹ 1,875"
"Hotel Stripes Kuala Lumpur, Autograph Collection",Deluxe Double Room,No,Yes,"₹ 5,207"
Easy Hotel KL Sentral,Deluxe Queen Room : Hassle Free Check-in / Free Wifi / Hourly Sanitization of Common Area / Gym & Rooftop Sky Garden Access,No,Yes,"₹ 2,604"
WP Hotel,Superior Twin Room,Yes,No,"₹ 2,272"
188 Suites,Suite with Balcony,No,Yes,"₹ 3,359"
VE Hotel & Residence,Deluxe Twin Room,Yes,No,"₹ 5,086"
sky suite klcc,Superior Apartment,No,Yes,"₹ 1,884"
De Luna Hotel Sri Petaling,Superior Queen Room,No,Yes,"₹ 2,265"
Mercure Kuala Lumpur Shaw Parade,Deluxe Double Room,No,Yes,"₹ 4,499"
Hotel Westree KL Sentral,Deluxe Queen Room,No,Yes,"₹ 1,785"
H Boutique Hotel Sri Petaling,Superior Queen Room without Window,No,Yes,"₹ 2,004"
Luxe Suite by KLCC,Standard Studio,No,Yes,"₹ 2,597"
MoMo's Kuala Lumpur,Crashpad,No,Yes,"₹ 2,348"
Alila Bangsar Kuala Lumpur,King Studio,No,Yes,"₹ 6,943"
Alila Bangsar Kuala Lumpur,King Studio,No,Yes,"₹ 6,943"
Dongfang Motel,Budget Double Room,No,Yes,"₹ 1,233"
D Loft Hotel,Deluxe Double Room,No,Yes,"₹ 2,149"
MOV Hotel Kuala Lumpur,Enclave,No,Yes,"₹ 3,330"
188 Suites,Suite with Balcony,No,Yes,"₹ 3,359"
U Pac Hotel,Standard Double Room,No,Yes,"₹ 1,687"
Expressionz Professional Suites by MyKey Global,Deluxe Studio,Yes,Yes,"₹ 3,330"
CITI HOTEL @ KL SENTRAL,Deluxe Queen Room,No,Yes,"₹ 1,718"
Indie Hotel Kuala Lumpur,Small Double Room,No,Yes,"₹ 2,921"
A&R Boutique Hotel,Standard Queen Room,No,Yes,"₹ 2,172"
sky suite klcc,Superior Apartment,No,Yes,"₹ 1,884"
Hotel Pritty,Superior Queen Room,No,Yes,"₹ 1,033"
Sentral Suites KL Sentral by The Cynefin,Queen Studio,No,Yes,"₹ 5,467"
Kingston Hotel Kuala Lumpur,Standard Twin Room,Yes,No,"₹ 1,764"
Hotel Venice,Deluxe Studio,No,Yes,"₹ 1,428"
OYO 161 Lodge Paradize Hotel,Economy Double Room,No,Yes,"₹ 1,575"
D'Garden Hotel Kuala Lumpur,Superior Queen Room,No,Yes,"₹ 1,180"
Worldview Grand Hotel,Deluxe Double Room with View,No,Yes,"₹ 2,109"
The Chow Kit - an Ormond Hotel,The Den,No,Yes,"₹ 4,151"
NU Hotel @ KL Sentral,Superior Queen Room,No,Yes,"₹ 2,343"
Metrostar Hotel Kuala Lumpur,Superior King Room,No,Yes,"₹ 2,499"
Stay with Bintang,Amber Queen,No,Yes,"₹ 3,359"
188 suites Fraser Residence,Studio with Balcony,No,Yes,"₹ 4,426"
Rain Forest Hotel,Standard Twin Room,Yes,No,"₹ 1,331"
Oakwood Hotel and Residence Kuala Lumpur,Deluxe Twin Room,Yes,No,"₹ 3,107"
Swing & Pillows - KL Cheras Maluri 2,Standard Twin Room,Yes,No,"₹ 1,545"
Meliá Kuala Lumpur,Meliá Room,No,No,"₹ 5,832"
Stay Collection Bukit Bintang,Tango King,No,Yes,"₹ 7,116"
H Boutique Hotel Xplorer Cheras,Deluxe Double Room,No,Yes,"₹ 2,110"
Luxe Suite by KLCC,Standard Studio,No,Yes,"₹ 2,597"
Scarletz Mana-Mana Suites KLCC,Ruby Queen Studio,No,Yes,"₹ 2,515"
Al Amin Muslim Friendly Hotel,Standard Double Room with Shared Bathroom,No,Yes,"₹ 1,121"
"Millerz Square Bangsar KL, Five Senses",Queen Studio,No,Yes,"₹ 3,681"
Uptown Chinatown,Superior Double Room,No,Yes,"₹ 1,534"
Expressionz Suites by V&C,Deluxe King Suite,No,Yes,"₹ 3,652"
