Hotel Name,Room Type,Single Bed,Double Bed,Price
Delta Hotels by Marriott Dubai Investment Park,"Standard Twin Room with Shuttle Bus to JBR Beach, Palm Jumeirah and various shopping malls",Yes,No,"₹ 5,662"
Shangri-La Dubai,Deluxe King Room with Sea View,No,Yes,"₹ 21,404"
Hampton By Hilton Dubai Al Barsha,King Guest Room - Smoking - with Free Breakfast,No,Yes,"₹ 8,850"
Aloft Dubai South,Aloft Room - King Bed (Complimentary Shuttle to Expo Metro Station & Al Maktoum International Airport),No,Yes,"₹ 7,522"
Grand Mercure Dubai,Superior King,No,Yes,"₹ 12,649"
Al Khoory Sky Garden Hotel,Sky Classic Room,Yes,Yes,"₹ 8,337"
"Radisson Blu Hotel, Dubai Deira Creek","Standard Room with Balcony and Creek View - includes Complimentary Shuttle to Kite Beach, Dubai Mall / Burj Khalifa",No,No,"₹ 15,379"
Le Paradise Palace,Deluxe Double Twin,No,Yes,"₹ 6,514"
Swissôtel Al Murooj Dubai,Classic King Room,No,Yes,"₹ 17,214"
MRA Grand Hotel,Deluxe Double or Twin Room,No,Yes,"₹ 5,096"
Premier Inn Dubai Dragon Mart,Family Room,No,Yes,"₹ 4,500"
City Seasons Hotel Dubai,Premium Twin Room,Yes,No,"₹ 8,981"
Taj Dubai,Luxury King Room with City View,No,Yes,"₹ 26,047"
"Four Points by Sheraton Production City, Dubai",Standard King Room (Complimentary Shuttle to DMCC Metro Station & Dubai Marina Mall),No,Yes,"₹ 7,135"
Premier Inn Dubai Al Jaddaf,Standard Double Room,No,Yes,"₹ 5,718"
"voco Dubai, an IHG Hotel",Deluxe,No,No,"₹ 17,327"
Novotel Jumeirah Village Triangle,Superior King Room with City View,No,Yes,"₹ 7,701"
DoubleTree by Hilton Hotel and Residences Dubai – Al Barsha,Twin Guest Room,Yes,No,"₹ 10,225"
Grand Astoria Hotel,Standard Double or Twin Room,Yes,Yes,"₹ 4,279"
Dorus Hotel,Deluxe Double Room,No,Yes,"₹ 5,367"
Hilton Garden Inn Dubai Al Mina - Jumeirah,"Superior King Room with Complimentary Shuttle Services to Dubai Mall, Burj Khalifa and La Mer Beach",No,Yes,"₹ 9,778"
BOONMAX Hotel,Deluxe Twin Room,Yes,No,"₹ 2,568"
Park Regis Kris Kin Hotel,Superior Twin Room,Yes,No,"₹ 13,590"
Aloft Dubai Creek,"Aloft Room, Guest room, King, City view",No,Yes,"₹ 11,302"
Citymax Hotel Al Barsha,Double Room with 20% off F&B,No,Yes,"₹ 8,992"
Gateway Hotel,Deluxe Double Room,No,Yes,"₹ 9,530"
Fortune Park Hotel,Deluxe Room,No,Yes,"₹ 9,530"
Grayton Hotel by Blazon Hotels,Classic Room King,No,Yes,"₹ 9,530"
"Holiday Inn Dubai Al-Maktoum Airport, an IHG Hotel","Deluxe King or Twin Room - Free Shuttle to Jumeirah Beach, Ibn Battuta Mall and Al Maktoum Airport - Shuttle requires advance booking",No,No,"₹ 8,990"
DoubleTree by Hilton Dubai - Business Bay,Two Double Beds Guest Room,No,Yes,"₹ 17,467"
RAF Hotel Apartments,Deluxe Studio,No,Yes,"₹ 9,790"
"Citadines Culture Village Dubai, Waterfront Jadaf",Standard Room with and without Balcony (Main Road),No,Yes,"₹ 7,983"
Raintree Rolla Hotel,Deluxe Room,No,Yes,"₹ 4,366"
Citymax Hotel Bur Dubai,Standard Room,No,Yes,"₹ 5,858"
Premier Inn Dubai Investments Park,Double Room - Non Smoking,No,Yes,"₹ 4,765"
"Aloft Me'aisam, Dubai","Aloft Room - King Bed (Complimentary Shuttle to Sobha Realty Metro Station, JBR Beach & Mall of the Emirates)",No,Yes,"₹ 7,726"
"V Hotel Dubai, Curio Collection by Hilton",King Deluxe Room with Canal View,No,Yes,"₹ 23,432"
Cube Hotel Dubai formerly Al Buraq Hotel Al Ras,Double Room,Yes,Yes,"₹ 6,115"
Hyatt Centric Jumeirah Dubai,King Room with Balcony and Skyline View,No,Yes,"₹ 20,837"
Al Khoory Courtyard Hotel,Superior Double or Twin Room,Yes,Yes,"₹ 7,975"
Copthorne Hotel Dubai,Superior King Room with City View,No,Yes,"₹ 9,263"
Premier Inn Dubai Ibn Battuta Mall,Standard Double Non-Smoking,No,Yes,"₹ 6,194"
"TIME Grand Plaza Hotel, Dubai Airport",Deluxe King Room- Inclusive of 20% F&B discount and Laundry,No,Yes,"₹ 8,047"
Hyatt Place Dubai Baniyas Square,Twin Room with Sofa Bed,Yes,No,"₹ 11,234"
VISTA HOTEL APARTMENTS DELUXE,Deluxe Studio,No,Yes,"₹ 13,476"
Royal Ascot Hotel,Superior Deluxe Room,Yes,Yes,"₹ 10,006"
The S Hotel Al Barsha,Executive King Room with 20% Off Food & Beverage (excluding in-room dining),No,Yes,"₹ 8,767"
Novotel Bur Dubai - Healthcare City,Superior Twin Room,Yes,No,"₹ 9,153"
Comfort Inn Hotel Deira,Standard Double Room,No,No,"₹ 4,850"
"Arabian Park Dubai, an Edge by Rotana Hotel",City View Room - Twin Beds,Yes,No,"₹ 6,470"
Vida Creek Beach Hotel,Deluxe Room Twin,Yes,No,"₹ 14,439"
Savoy Crest Hotel Apartment - Bur Dubai,Deluxe Studio Suite - Free Bus service to La Mer Beach at Jumeirah with Beach Mats & Beach Towels,No,Yes,"₹ 7,624"
Aparthotel Adagio Dubai Deira,Studio Deluxe - 20% off Food & Beverage,Yes,Yes,"₹ 9,173"
City Avenue Al Reqqa Hotel,Standard Double or Twin Room,No,No,"₹ 5,294"
Conrad Dubai,Deluxe Double Room with Two Double Beds and Sea View,No,Yes,"₹ 18,107"
JA Lake View Hotel (JA The Resort),Deluxe Room - King Bed,No,Yes,"₹ 21,200"
Crowne Plaza Dubai Festival City,Standard Room,No,No,"₹ 16,987"
York International Hotel,Standard King Room,No,Yes,"₹ 3,828"
KSK Homes Hotel Dubai Academic City,Budget Twin Room,Yes,No,"₹ 6,015"
فندق جلف ستار,Suite,No,Yes,"₹ 2,650"
Hyatt Regency Dubai Creek Heights,King Room,No,Yes,"₹ 16,217"
Hyatt Place Dubai Wasl District,Twin Room with Sofa Bed,Yes,No,"₹ 11,778"
Grandeur Hotel Al Barsha,Executive Double or Twin Room,No,Yes,"₹ 7,367"
Six Seasons Hotel,Standard King Room,No,Yes,"₹ 11,325"
Premier Inn Dubai Silicon Oasis,Double Room - Smoking,No,Yes,"₹ 5,580"
"Staybridge Suites Dubai Al-Maktoum Airport, an IHG Hotel",King Room with Roll In Shower - Communications Accessible,No,Yes,"₹ 14,493"
