Hotel Name,Free WiFi,Family rooms,Non-smoking rooms,Restaurant,Bar,Heating,Lift,Breakfast Cuisine 1,Breakfast Cuisine 2,Breakfast Cuisine 3
ibis London Stratford,yes,no,no,yes,yes,yes,no,Continental,Full English/Irish,
Motel One London-Tower Hill,yes,no,no,no,yes,yes,no,Continental,,
Hilton London Canary Wharf,no,yes,no,no,no,no,no,Continental,Full English/Irish,Vegetarian
THE KNIGHT OF NOTTINGHILL,yes,no,yes,no,yes,no,no,,,
citizenM Tower of London,no,no,no,no,yes,yes,no,Full English/Irish,Vegan,
198 Studios,yes,yes,yes,no,no,yes,no,,,
The Collective Canary Wharf,no,no,no,no,yes,no,yes,,,
Park Plaza London Waterloo,no,yes,no,no,no,no,no,Buffet,,
St Pancras Inn,no,no,yes,no,no,yes,no,Continental,,
"Radisson Blu Edwardian Grafton Hotel, London",no,no,no,yes,no,yes,no,Full English/Irish,,
"Holiday Inn London - Whitechapel, an IHG Hotel",no,no,no,no,no,yes,no,Full English/Irish,Vegetarian,
The Lodge Hotel - Putney,no,yes,no,yes,yes,yes,no,Full English/Irish,,
The Premier Notting Hill,yes,yes,no,yes,no,yes,no,Halal,,
The Jade,yes,no,yes,no,no,yes,yes,,,
"Hotel Indigo London Hyde Park Paddington, an IHG Hotel",no,no,no,yes,no,no,yes,Continental,Italian,Full English/Irish
Moxy London Stratford,no,no,no,no,yes,yes,no,Continental,Full English/Irish,Vegetarian
Hilton London Euston,no,yes,no,no,no,yes,no,Continental,Full English/Irish,Vegetarian
The Wesley Camden Town,yes,no,yes,no,no,yes,yes,,,
The California,yes,yes,no,no,yes,yes,no,Continental,,
DoubleTree by Hilton Hotel London - Tower of London,no,no,yes,no,yes,yes,no,Continental,Full English/Irish,Vegetarian
Ruby Zoe Hotel London,yes,no,no,no,yes,yes,no,Continental,Vegetarian,Vegan
Marlin Aldgate Tower Bridge,yes,yes,yes,no,no,yes,yes,,,
Paddington Court Executive Rooms,no,no,no,yes,yes,yes,no,,,
Caring Hotel,yes,yes,no,no,no,yes,no,Continental,,
Sydney House Chelsea,yes,no,no,no,no,yes,yes,Full English/Irish,Vegetarian,
Ashburn Hotel,no,no,no,no,yes,yes,yes,Full English/Irish,,
The House of Toby,no,yes,no,no,yes,yes,no,,,
The Z Hotel Holborn,yes,yes,yes,no,yes,no,no,,,
The Piccadilly London West End,no,no,yes,no,no,yes,no,Continental,,
The Z Hotel Tottenham Court Road,yes,no,yes,no,no,no,yes,,,
Pembridge Palace Hotel,yes,yes,no,yes,no,yes,yes,,,
Britannia International Hotel Canary Wharf,no,no,yes,no,yes,yes,no,Full English/Irish,,
"The Hoxton, Shepherds Bush",no,no,yes,yes,yes,no,no,,,
Park Grand London Lancaster Gate,no,no,no,no,no,yes,no,Continental,Full English/Irish,Vegetarian
DoubleTree by Hilton London Ealing,no,no,no,no,no,yes,no,Continental,Full English/Irish,Vegetarian
"Club Quarters Hotel London City, London",no,no,no,no,no,no,yes,,,
London Marriott Hotel Regents Park,no,yes,no,no,no,no,no,Continental,Full English/Irish,Gluten-free
Clayton Hotel London Wall,no,no,no,yes,yes,yes,no,Full English/Irish,,
Homefield Lodge,yes,no,yes,no,no,yes,no,,,
The Grand at Trafalgar Square,no,no,no,no,no,yes,no,Full English/Irish,,
The Chamberlain,no,no,no,yes,yes,yes,no,Continental,Full English/Irish,
Hampton by Hilton London Waterloo,no,no,yes,no,yes,yes,no,Buffet,,
"Holiday Inn London Bloomsbury, an IHG Hotel",no,yes,no,no,no,no,no,Continental,Full English/Irish,Vegetarian
Rove Hotel London Paddington,yes,yes,yes,no,no,yes,yes,,,
The Nayland Hotel,yes,yes,yes,no,yes,yes,yes,Continental,,
Clayton Hotel Chiswick,no,yes,no,yes,yes,yes,no,Continental,Full English/Irish,Vegetarian
Commodore Hotel,yes,yes,yes,no,no,yes,yes,Halal,,
Thistle London Park Lane,yes,no,yes,no,no,yes,yes,,,
Hilton London Bankside,no,yes,no,no,no,no,no,Continental,Full English/Irish,Vegetarian
DoubleTree by Hilton London – Docklands Riverside,no,yes,no,no,yes,yes,no,Continental,Full English/Irish,
Eccleston Square Hotel,no,no,no,no,yes,yes,no,Continental,,
Residence Inn by Marriott London Kensington,no,yes,no,no,no,no,yes,Continental,Full English/Irish,Vegetarian
"Holiday Inn London Camden Lock, an IHG Hotel",no,yes,no,no,yes,yes,no,Continental,Full English/Irish,Buffet
Assembly Covent Garden,yes,yes,no,yes,yes,no,no,,,
Hyatt Regency London Albert Embankment,yes,no,no,no,no,yes,no,Continental,Full English/Irish,Vegetarian
Best Western Corona Hotel,yes,yes,no,no,no,yes,yes,Full English/Irish,,
The Mandeville Hotel,no,no,no,yes,yes,yes,no,Full English/Irish,,
"Holiday Inn Express London Limehouse, an IHG Hotel",no,yes,no,no,yes,yes,no,Continental,Full English/Irish,Vegetarian
"Huttons Hotel, Victoria London",yes,yes,yes,no,no,yes,yes,Continental,,
Byron Hotel,yes,yes,no,no,no,yes,yes,Continental,Full English/Irish,Vegetarian
Grange Buckingham Hotel,yes,yes,no,no,no,yes,no,Continental,,
"Holiday Inn Express Earls Court, an IHG Hotel",no,yes,no,no,yes,no,no,Continental,,
"The May Fair, A Radisson Collection Hotel, Mayfair London",no,no,yes,yes,yes,no,yes,Full English/Irish,,
ibis London Greenwich,no,no,no,yes,yes,no,no,Full English/Irish,Vegetarian,Gluten-free
Moxy London Excel,yes,yes,no,no,no,no,no,Continental,Full English/Irish,Vegetarian
Admiral Hotel at Park Avenue,yes,yes,no,no,yes,yes,no,Full English/Irish,,
Apex City Of London Hotel,no,yes,no,yes,yes,yes,no,Full English/Irish,,
Washington Mayfair Hotel,yes,no,no,yes,yes,yes,no,Full English/Irish,,
"Holiday Inn Express London Chingford, an IHG Hotel",no,yes,no,no,yes,yes,no,Continental,Vegetarian,Vegan
"Holiday Inn Express London Greenwich, an IHG Hotel",no,yes,yes,yes,yes,yes,no,Continental,Full English/Irish,Vegetarian
Mercure London Hyde Park Hotel,no,no,no,yes,no,yes,no,Continental,Italian,Full English/Irish
citizenM London Bankside,yes,no,no,no,yes,yes,no,Full English/Irish,Vegan,
Bedford Corner Hotel,yes,no,yes,no,no,yes,yes,,,
Grand Royale London Hyde Park,yes,yes,no,no,yes,yes,no,Full English/Irish,,
Hilton London Hyde Park,yes,no,no,yes,no,yes,no,Gluten-free,,
Rubens At The Palace,no,no,no,no,yes,yes,no,Full English/Irish,,
Lancaster Gate Hotel,no,yes,no,yes,yes,yes,no,Continental,Full English/Irish,
Hyatt Place London City East,no,no,no,no,yes,yes,yes,,,
Hampton By Hilton London Docklands,no,no,no,no,no,yes,no,Continental,,
The Columbia,no,yes,no,no,yes,yes,yes,Continental,,
The W14 Kensington,no,no,no,no,no,yes,no,,,
The Z Hotel Strand,yes,no,no,no,yes,no,yes,,,
Millennium Hotel London Knightsbridge,no,yes,no,no,yes,yes,no,Continental,Full English/Irish,Vegetarian
Luna And Simone Hotel,yes,yes,yes,no,no,yes,no,,,
Park Plaza Westminster Bridge London,no,yes,no,no,no,no,no,Buffet,,
Apex Temple Court Hotel,no,no,no,no,yes,yes,no,Continental,Full English/Irish,
Thistle London Hyde Park Kensington Gardens,no,no,no,no,yes,yes,no,Continental,Full English/Irish,
"Holiday Inn Express Royal Docks, an IHG Hotel",yes,yes,no,no,yes,yes,no,Continental,Gluten-free,Buffet
Best Western Northfields Ealing Hotel,yes,yes,no,no,no,yes,yes,Continental,,
Town Hall Hotel - Shoreditch,no,yes,no,no,no,yes,no,Continental,Full English/Irish,
The Resident Kensington,yes,yes,no,no,no,yes,no,,,
Montcalm Royal London House-City of London,no,no,no,no,yes,yes,no,Full English/Irish,,
London Court Hotel,yes,yes,yes,no,no,yes,no,,,
The Eaton Townhouse,yes,no,yes,no,no,yes,no,,,
Astor Court Hotel,no,yes,no,no,no,yes,yes,Breakfast to go,,
The Park City Grand Plaza Kensington Hotel,no,yes,no,yes,no,yes,no,Continental,Full English/Irish,Asian
The Beverley Hotel London - Victoria,yes,yes,yes,no,no,yes,no,,,
Hotel Edward Paddington,yes,yes,no,no,no,yes,yes,,,
Comfort Inn Hyde Park,yes,yes,yes,no,no,yes,no,Continental,,
K Hotel Kensington,yes,yes,yes,no,no,yes,yes,,,
Ivy House Hotel,no,yes,yes,no,no,no,no,,,
Ruby Lucy Hotel London,no,no,no,no,yes,yes,no,Continental,Vegetarian,Vegan
Royal National Hotel,yes,yes,yes,yes,yes,no,no,Full English/Irish,,
Gainsborough Hotel,yes,yes,yes,no,no,yes,no,Continental,,
H10 London Waterloo,no,no,no,no,yes,yes,no,Continental,Full English/Irish,Vegetarian
Central Park Hotel,no,yes,yes,no,yes,yes,yes,Full English/Irish,,
Citadines Holborn - Covent Garden London,no,yes,no,no,no,yes,yes,Continental,,
"Crowne Plaza London - Docklands, an IHG Hotel",no,no,no,no,yes,no,no,Continental,Full English/Irish,Vegetarian
Hotel MSP,yes,yes,yes,no,no,no,no,,,
Tropicana Residence Klcc @ Roof Top Swimming Pool,yes,yes,yes,yes,yes,no,yes,,,
AXON RESIDENCES AT BUKIT BINTANG KUALA LAMPUR,yes,yes,no,no,no,no,yes,,,
Hilton Garden Inn Kuala Lumpur - South,no,no,no,no,yes,no,yes,Vegetarian,Asian,American
"Scarletz Suites Kuala Lumpur, Five Senses",no,yes,yes,no,yes,no,yes,,,
Ceylonz Suites by MyKey Global,yes,no,yes,no,yes,no,yes,Continental,Buffet,
AC Hotel by Marriott Kuala Lumpur,no,no,yes,yes,no,no,no,Buffet,,
Hilton Garden Inn Kuala Lumpur - North,no,no,yes,no,no,no,yes,Continental,,
The Platinum 2 Kuala Lumpur by LUMA,yes,no,yes,no,no,no,yes,,,
"The Majestic Hotel Kuala Lumpur, Autograph Collection",no,no,no,no,no,no,no,Buffet,,
"Holiday Inn Express Kuala Lumpur City Centre, an IHG Hotel",no,no,yes,no,no,no,yes,Continental,Vegetarian,Halal
lyf Raja Chulan Kuala Lumpur,yes,no,yes,no,no,no,yes,American,,
Ceylonz Starlight Suites Bukit Bintang,yes,no,yes,no,no,no,yes,,,
Mercure Kuala Lumpur Shaw Parade,no,no,no,yes,yes,no,no,Continental,Halal,Asian
ibis Kuala Lumpur City Centre,no,no,no,no,yes,no,no,Continental,Vegetarian,Vegan
M Resort & Hotel Kuala Lumpur,no,yes,no,no,no,no,no,Halal,,
The Platinum KLCC By Sky Pool,yes,yes,yes,no,no,no,yes,,,
Ceylonz Suite Kuala Lumpur Five Senses,yes,no,yes,no,yes,no,yes,,,
Santa Grand Signature Kuala Lumpur,yes,no,no,no,yes,no,no,Continental,Asian,American
Komune Living,no,no,yes,no,no,no,yes,Continental,Vegetarian,Halal
DoubleTree By Hilton Kuala Lumpur,no,no,yes,no,no,no,no,Continental,,
INNSiDE by Meliá Kuala Lumpur,no,yes,yes,no,no,no,no,Continental,Vegetarian,Vegan
Sentral Suites KualaLumpur,no,yes,yes,no,no,no,no,,,
Novotel Kuala Lumpur City Centre,yes,no,no,no,no,no,no,Halal,Asian,American
Rainbow Suite BTS Bukit Bingtang,no,yes,yes,no,no,no,no,,,
ViiA Residences Kuala Lumpur,yes,yes,yes,no,no,no,yes,,,
Chambers Residence Kuala Lumpur by Roam,yes,no,yes,no,no,no,yes,,,
Sunway Putra Hotel Kuala Lumpur,no,yes,no,no,no,no,yes,,,
"Hotel Stripes Kuala Lumpur, Autograph Collection",no,no,no,yes,yes,no,no,Buffet,,
Chambers Suites KL,no,yes,yes,no,no,no,no,,,
The Faced Platinum KLCC,no,yes,yes,yes,no,no,yes,,,
Days Hotel & Suites by Wyndham Fraser Business Park KL,yes,no,yes,no,no,no,no,Halal,Asian,Buffet
Pacific Regency Hotel Suites,no,no,yes,no,no,no,no,Continental,Asian,
citizenM Kuala Lumpur Bukit Bintang,yes,no,yes,no,yes,no,no,Vegetarian,Vegan,Gluten-free
"Pavilion Ceylon Hill Suites, Bukit Bintang",yes,yes,yes,no,no,no,yes,,,
MOONWAY SUITES At EATON KLCC,yes,yes,no,no,no,no,no,,,
Oakwood Hotel and Residence Kuala Lumpur,no,yes,no,no,no,no,yes,Continental,Asian,
Dorsett Kuala Lumpur,no,yes,yes,no,no,no,yes,Halal,,
Oasia Suites Kuala Lumpur by Far East Hospitality,no,yes,no,no,no,no,no,Asian,,
Peak Suites At Times Square,no,yes,yes,no,no,no,no,Vegetarian,Halal,Asian
Indie Hotel Kuala Lumpur,yes,yes,yes,no,no,no,yes,,,
"InterContinental Kuala Lumpur, an IHG Hotel",no,yes,no,no,no,no,no,Continental,Vegetarian,Halal
Expressionz Professional Suites by MyKey Global,yes,no,yes,no,no,no,yes,,,
Scarletz KLCC Apartments by soulasia,yes,yes,yes,no,no,no,no,,,
Concorde Hotel Kuala Lumpur,no,no,yes,no,no,no,no,,,
Meliá Kuala Lumpur,no,yes,yes,no,no,no,yes,Vegetarian,Halal,Asian
AnCasa Hotel Kuala Lumpur by Ancasa Hotels & Resorts,no,yes,yes,no,no,no,no,Continental,,
Hotel Maya Kuala Lumpur,no,no,no,no,no,no,no,Continental,Vegetarian,Halal
PARKROYAL Serviced Suites Kuala Lumpur,no,yes,yes,no,no,no,no,Continental,Vegetarian,Asian
Dorsett Hartamas Kuala Lumpur,no,no,yes,no,no,no,yes,Continental,Asian,American
ViiA Residences Kuala Lumpur,yes,yes,yes,no,no,no,yes,,,
Chambers Residence Kuala Lumpur by Roam,yes,no,yes,no,no,no,yes,,,
Sunway Putra Hotel Kuala Lumpur,no,yes,no,no,no,no,yes,,,
"Hotel Stripes Kuala Lumpur, Autograph Collection",no,no,no,yes,yes,no,no,Buffet,,
Chambers Suites KL,no,yes,yes,no,no,no,no,,,
The Faced Platinum KLCC,no,yes,yes,yes,no,no,yes,,,
Days Hotel & Suites by Wyndham Fraser Business Park KL,yes,no,yes,no,no,no,no,Halal,Asian,Buffet
Pacific Regency Hotel Suites,no,no,yes,no,no,no,no,Continental,Asian,
citizenM Kuala Lumpur Bukit Bintang,yes,no,yes,no,yes,no,no,Vegetarian,Vegan,Gluten-free
"Pavilion Ceylon Hill Suites, Bukit Bintang",yes,yes,yes,no,no,no,yes,,,
MOONWAY SUITES At EATON KLCC,yes,yes,no,no,no,no,no,,,
Oakwood Hotel and Residence Kuala Lumpur,no,yes,no,no,no,no,yes,Continental,Asian,
Dorsett Kuala Lumpur,no,yes,yes,no,no,no,yes,Halal,,
Oasia Suites Kuala Lumpur by Far East Hospitality,no,yes,no,no,no,no,no,Asian,,
Peak Suites At Times Square,no,yes,yes,no,no,no,no,Vegetarian,Halal,Asian
Indie Hotel Kuala Lumpur,yes,yes,yes,no,no,no,yes,,,
"InterContinental Kuala Lumpur, an IHG Hotel",no,yes,no,no,no,no,no,Continental,Vegetarian,Halal
Expressionz Professional Suites by MyKey Global,yes,no,yes,no,no,no,yes,,,
Scarletz KLCC Apartments by soulasia,yes,yes,yes,no,no,no,no,,,
Concorde Hotel Kuala Lumpur,no,no,yes,no,no,no,no,,,
Meliá Kuala Lumpur,no,yes,yes,no,no,no,yes,Vegetarian,Halal,Asian
AnCasa Hotel Kuala Lumpur by Ancasa Hotels & Resorts,no,yes,yes,no,no,no,no,Continental,,
Hotel Maya Kuala Lumpur,no,no,no,no,no,no,no,Continental,Vegetarian,Halal
PARKROYAL Serviced Suites Kuala Lumpur,no,yes,yes,no,no,no,no,Continental,Vegetarian,Asian
Dorsett Hartamas Kuala Lumpur,no,no,yes,no,no,no,yes,Continental,Asian,American
citizenM Kuala Lumpur Bukit Bintang,yes,no,yes,no,yes,no,no,Vegetarian,Vegan,Gluten-free
"Pavilion Ceylon Hill Suites, Bukit Bintang",yes,yes,yes,no,no,no,yes,,,
Days Hotel & Suites by Wyndham Fraser Business Park KL,yes,no,yes,no,no,no,no,Halal,Asian,Buffet
Dorsett Hartamas Kuala Lumpur,no,no,yes,no,no,no,yes,Continental,Asian,American
Perdana Kuala Lumpur City Centre,no,yes,no,no,no,no,yes,Continental,,
The Chow Kit - an Ormond Hotel,no,no,yes,yes,yes,no,yes,Continental,Asian,
Sheraton Imperial Kuala Lumpur Hotel,no,no,yes,no,no,no,no,Continental,American,
AnCasa Hotel Kuala Lumpur by Ancasa Hotels & Resorts,no,yes,yes,no,no,no,no,Continental,,
"Capri by Fraser, Bukit Bintang",no,no,no,no,no,no,no,Continental,Halal,Asian
Expressionz Professional Suites by MyKey Global,yes,no,yes,no,no,no,yes,,,
Seri Pacific Hotel Kuala Lumpur,no,no,yes,no,no,no,yes,Continental,Asian,
Impiana KLCC Hotel,no,no,no,no,no,no,no,Asian,,
EST Bangsar KL Sentral by Greater Stay,yes,yes,yes,no,no,no,yes,,,
The RuMa Hotel and Residences,no,no,no,no,yes,no,no,Continental,Vegetarian,Vegan
MOV Hotel Kuala Lumpur,yes,yes,yes,no,no,no,no,,,
Astar Hotel Bukit Bintang,yes,yes,yes,no,no,no,yes,,,
JD SUITES AXON BUKIT BINTANG,no,yes,yes,no,no,no,no,,,
Verdant Hill Hotel Kuala Lumpur,no,no,no,no,yes,no,no,American,,
J Dupion Residence by Greater Stay,yes,yes,yes,no,no,no,no,,,
"Berjaya Times Square Hotel, Kuala Lumpur",no,yes,yes,no,no,no,no,Vegetarian,Halal,Asian
Scarletz Suites KLCC by Mana-Mana,yes,yes,yes,no,no,no,yes,,,
Lucentia Residences BBCC at Lalaport Kuala Lumpur by Veedu Hauz,yes,yes,no,no,no,no,no,,,
Hotel Royal Kuala Lumpur,no,no,no,no,no,no,yes,Halal,,
Eaton Suites KLCC By Fortune,yes,yes,yes,no,no,no,yes,,,
Stay Collection Bukit Bintang,yes,no,yes,no,no,no,no,,,
citizenM Kuala Lumpur Bukit Bintang,yes,no,yes,no,yes,no,no,Vegetarian,Vegan,Gluten-free
Platinum KLCC by SS Residence,yes,no,yes,no,no,no,yes,,,
Stay with Bintang,no,yes,yes,no,no,no,no,,,
Ceylonz KLCC by Gsuites,yes,no,yes,no,yes,no,yes,,,
The Maple Suite,no,yes,no,no,no,no,yes,,,
Arte by Thomas Chan,no,yes,no,yes,yes,no,yes,Continental,Full English/Irish,Vegetarian
"Tribeca Residences Kuala Lumpur, Five Senses",yes,no,yes,no,yes,no,yes,,,
THE FACE Suites,no,yes,yes,no,yes,no,yes,Continental,Halal,Asian
Una Serviced Apartment Kuala Lumpur by Roam,no,yes,yes,no,no,no,no,,,
M Vertica Residences by Cozy KL Homes,no,yes,yes,no,no,no,no,,,
EATON Residences by WSD,yes,no,yes,no,no,no,yes,,,
"UNA Serviced Apartment, Sunway Velocity Kuala Lumpur",no,yes,yes,no,no,no,no,,,
"Datum Jelatek Sky Residence KLCC, Five Senses",no,yes,yes,yes,no,no,no,,,
WSD Times 8 Luxury Hotels & Residences,yes,no,yes,no,no,no,yes,,,
"ViiA Residences Kuala Lumpur, Five Senses",yes,no,no,no,no,no,no,,,
UNA Sunway Velocity Kuala Lumpur by Unimax,yes,yes,yes,no,no,no,yes,,,
Star at KLCC,no,no,no,no,no,no,no,,,
BIG M Hotel,yes,yes,yes,no,no,no,yes,,,
Ceria Hotel,yes,yes,yes,no,no,no,no,,,
Hilton Kuala Lumpur,no,no,no,no,no,no,no,Continental,,
St Giles Boulevard,no,no,no,no,no,no,yes,Continental,Halal,Asian
Expressionz Premium Suites @ KLCC,no,yes,yes,no,no,no,yes,,,
Axon Apartment Bukit Bintang,no,yes,yes,no,no,no,no,,,
Pan Pacific Serviced Suites Kuala Lumpur,yes,yes,yes,no,no,no,no,Buffet,,
Sleeping Lion Suites,yes,yes,no,no,no,no,no,,,
citizenM Kuala Lumpur Bukit Bintang,yes,no,yes,no,yes,no,no,Vegetarian,Vegan,Gluten-free
"Santa Grand Classic Kuala Lumpur, Chinatown",yes,yes,yes,no,no,no,yes,Continental,,
Fairfield by Marriott Kuala Lumpur Jalan Pahang,yes,yes,yes,no,no,no,yes,Vegetarian,Halal,Asian
J-Hotel by Dorsett,yes,no,yes,yes,no,no,yes,Asian,,
PARKROYAL COLLECTION Kuala Lumpur,no,no,no,no,no,no,no,Continental,Halal,Asian
Scarletz Mana-Mana Suites KLCC,yes,yes,yes,no,no,no,yes,,,
Grand Hyatt Kuala Lumpur,no,no,no,no,no,no,yes,Continental,Vegetarian,Halal
Grand Millennium Kuala Lumpur,no,yes,yes,no,no,no,no,Continental,Vegetarian,Asian
Travelodge Bukit Bintang,yes,yes,yes,yes,no,no,no,Asian,American,
Domitys Bangsar Kuala Lumpur,no,yes,yes,no,no,no,no,Continental,,
Hotel Royal Signature,yes,yes,yes,no,no,no,no,Continental,Buffet,
188 suites Fraser Residence,yes,no,no,no,no,yes,no,,,
Sunway Velocity Hotel Kuala Lumpur,no,no,yes,no,no,no,no,Continental,,
Element Kuala Lumpur,no,no,no,no,no,yes,no,Continental,Vegetarian,Halal
E&O Residences Kuala Lumpur,no,yes,no,no,no,no,yes,,,
Ibis Styles Kuala Lumpur Fraser Business Park,yes,no,yes,no,no,no,yes,Vegetarian,Halal,Asian
Travelodge Chinatown Kuala Lumpur,yes,no,no,no,no,no,no,,,
Sentral Suites KL Sentral by The Cynefin,yes,yes,no,no,no,no,no,,,
THE FACE Style,no,yes,yes,no,no,no,no,Continental,Halal,Asian
Cormar Suites,no,yes,no,no,no,no,no,,,
Ceylonz KLCC by Perfect Host,yes,yes,no,no,yes,no,no,,,
Corus Hotel Kuala Lumpur,no,no,yes,no,no,no,yes,Continental,Halal,Asian
8 Kia Peng Residences by Times 8,yes,yes,no,yes,no,no,yes,,,
Scarletz Suites KLCC by Mykey Global,yes,no,yes,no,no,no,no,,,
The Westin Kuala Lumpur,no,no,no,no,no,no,yes,Vegetarian,Halal,Gluten-free
citizenM Kuala Lumpur Bukit Bintang,yes,no,yes,no,yes,no,no,Vegetarian,Vegan,Gluten-free
Vivatel Kuala Lumpur,no,yes,no,no,no,no,no,Halal,Asian,
Platinum Suites KLCC By YA Noor,yes,yes,yes,no,yes,no,no,,,
Al Amin Muslim Friendly Hotel,yes,yes,yes,yes,no,no,no,,,
Alia Premier KLCC,no,yes,yes,yes,no,no,no,Continental,Buffet,
"Hyatt House Kuala Lumpur, Mont Kiara",no,yes,no,no,no,no,no,Asian,American,
WOLO Kuala Lumpur,yes,yes,yes,no,no,no,no,Asian,American,
Wyndham Grand Bangsar Kuala Lumpur - Formerly Pullman Kuala Lumpur Bangsar,no,no,yes,no,no,no,no,Halal,Asian,American
Hotel MSP,yes,yes,yes,no,no,no,no,,,
Axon Service Suite At Bukit Bintang,yes,yes,yes,no,no,no,no,,,
Hotel Capitol Kuala Lumpur,yes,no,yes,no,no,no,yes,Buffet,,
TRILLION SUITES by SLG,no,yes,no,no,no,no,yes,Continental,,
Cosmo Hotel Kuala Lumpur,yes,yes,yes,no,no,no,yes,Continental,Vegetarian,Halal
The Kuala Lumpur Journal Hotel,no,no,yes,yes,yes,no,no,Halal,Asian,American
Sunway Pyramid Hotel,no,yes,yes,no,no,no,no,Continental,Full English/Irish,Vegetarian
"Datum Jelatek Sky Residence Kuala Lumpur, Roam",yes,no,yes,no,yes,no,no,,,
Opus Bukit Bintang,yes,no,yes,no,no,no,no,,,
Hotel Six Seasons @ Mid Valley,no,no,yes,no,no,no,no,,,
Axon Luxury Suites KL,no,yes,yes,no,no,no,no,,,
Star Grand Suites KLCC,no,yes,yes,no,no,no,no,,,
ORKID Hills at Pudu,yes,yes,yes,no,no,no,yes,Asian,,
Platinum Suites KLCC by Luxurinn Bukit Bintang,no,yes,yes,no,no,no,no,,,
LA ISRA at KL,no,yes,yes,no,no,no,no,Asian,Buffet,
Dolphin The Eaton KLCC Kuala Lumpur,no,no,yes,no,no,no,no,,,
Maison Boutique Theme Hotel @ Bukit Bintang City Centre,yes,no,yes,no,no,no,yes,Halal,Asian,
citizenM Kuala Lumpur Bukit Bintang,yes,no,yes,no,yes,no,no,Vegetarian,Vegan,Gluten-free
Royale Chulan Kuala Lumpur,no,yes,no,no,no,no,no,Continental,Vegetarian,Halal
Ramada Suites by Wyndham Kuala Lumpur City Centre,no,yes,yes,no,yes,no,yes,Continental,Vegetarian,Asian
Hyatt Place Kuala Lumpur Bukit Jalil,yes,yes,yes,no,no,no,no,Vegetarian,Halal,Asian
Sunway Resort Hotel,no,no,no,no,no,no,no,Continental,Asian,American
Soho Suites KLCC by B&B,yes,yes,yes,no,no,no,no,,,
InnB Park Hotel,yes,yes,yes,no,no,no,yes,,,
Regalia Upper View Hotel,no,yes,yes,no,no,no,yes,Halal,,
Shangri-La Kuala Lumpur,no,no,no,no,no,no,no,Continental,Vegetarian,Halal
Tropicana The Residences KLCC by Vale Pine,yes,yes,yes,no,no,no,yes,,,
MoMo's Kuala Lumpur,yes,no,yes,yes,yes,no,no,Continental,,
"Sunway Lagoon Hotel , formerly Sunway Clio Hotel",no,no,no,no,no,no,yes,Continental,Full English/Irish,Vegetarian
"Traders Hotel, Kuala Lumpur",no,no,no,no,yes,no,no,Continental,Italian,Vegetarian
Else Kuala Lumpur,no,no,yes,no,yes,no,no,Asian,,
188 suites klcc by Signature Apartment,no,yes,no,no,no,no,yes,,,
Robertson PanoramaKL Suites,yes,yes,no,no,no,no,no,,,
188 Suites KLCC,yes,no,yes,no,no,no,yes,,,
WP Hotel,yes,no,yes,no,no,no,yes,Continental,,
"The Colony & Luxe, KLCC by Five Senses",yes,no,yes,no,no,no,no,,,
Societe Suite Hartamas,yes,yes,yes,no,no,no,no,,,
RS Suites In Bukit Bintang,no,yes,yes,no,no,no,no,,,
D Loft Hotel,yes,yes,yes,no,no,no,yes,,,
8 Kia Peng Suites,yes,yes,yes,no,no,no,no,Asian,,
"Four Points by Sheraton Kuala Lumpur, Chinatown",no,no,no,no,yes,no,no,Continental,Asian,American
Damas Suites & Residences Kuala Lumpur,no,no,yes,no,no,no,yes,Continental,Vegetarian,Halal
Hampton By Hilton Manchester Northern Quarter,no,no,yes,no,no,yes,no,Continental,Full English/Irish,Vegetarian
Manchester Marriott Victoria & Albert Hotel,no,no,no,yes,yes,no,yes,Continental,Full English/Irish,Vegetarian
Motel One Manchester-Piccadilly,yes,no,yes,no,yes,yes,no,Continental,,
"Kimpton Clocktower, an IHG Hotel",no,yes,no,yes,yes,no,no,Continental,Full English/Irish,Vegetarian
AC Hotel by Marriott Manchester City Centre,no,no,yes,no,yes,yes,no,Full English/Irish,,
Whitworth Locke,yes,no,yes,yes,yes,yes,no,,,
Residence Inn by Marriott Manchester Piccadilly,no,no,yes,no,no,yes,no,Continental,,
Motel One Manchester-St. Peter´s Square,yes,no,yes,no,yes,no,yes,Continental,,
Motel One Manchester-Royal Exchange,yes,no,yes,no,yes,no,yes,Continental,,
ABode Manchester,yes,no,yes,no,no,yes,yes,Full English/Irish,Vegetarian,Gluten-free
Hyatt House Manchester,no,yes,yes,no,no,yes,no,Continental,Full English/Irish,Vegetarian
"Hotel Indigo Manchester - Victoria Station, an IHG Hotel",no,no,yes,no,yes,no,no,Continental,Full English/Irish,Vegetarian
Leonardo Hotel Manchester Piccadilly,no,no,yes,no,yes,yes,no,Full English/Irish,Vegetarian,
"Holiday Inn Express Manchester City Centre, an IHG Hotel",yes,yes,yes,no,yes,yes,yes,Continental,Vegetarian,
Moxy Manchester City,no,no,yes,no,yes,no,no,Continental,Full English/Irish,
Park Inn by Radisson Manchester City Centre,no,no,no,no,no,yes,no,Continental,Full English/Irish,Buffet
Hilton Manchester Deansgate,no,no,yes,no,yes,no,yes,Continental,Full English/Irish,
Clayton Hotel Manchester City Centre,no,no,yes,no,yes,yes,yes,Full English/Irish,Vegetarian,Gluten-free
"Crowne Plaza Manchester City Centre, an IHG Hotel",no,yes,yes,no,yes,no,no,Continental,Full English/Irish,Vegetarian
