Hotel Name,Free WiFi,Family rooms,Non-smoking rooms,Restaurant,Bar,Heating,Lift,Breakfast Cuisine 1,Breakfast Cuisine 2,Breakfast Cuisine 3
Citymax Hotel Business Bay,no,no,yes,no,yes,no,no,Continental,Halal,American
Ramada by Wyndham Dubai Deira,no,no,yes,no,no,yes,no,Full English/Irish,Halal,American
Ibis Styles Dubai Jumeira,no,no,yes,no,no,no,no,Continental,,
"Four Points by Sheraton Production City, Dubai",no,no,yes,no,no,no,yes,Continental,Full English/Irish,Halal
Jacob's Garden Hotel,yes,no,no,no,no,no,yes,Continental,Vegetarian,Asian
ROYAL CONCORDE HOTEL&SUITE,no,yes,yes,no,no,no,no,Continental,,
Asiana Grand Hotel,yes,no,yes,no,no,no,no,Continental,,
SO Uptown Dubai,no,no,yes,no,no,no,no,Continental,Vegetarian,Vegan
Le Paradise Palace,no,no,yes,yes,no,no,no,Continental,Halal,Asian
Dusit D2 Kenz Hotel Dubai,no,no,yes,no,no,no,yes,Continental,Vegetarian,Halal
"voco Dubai, an IHG Hotel",no,no,yes,no,no,no,no,Continental,Full English/Irish,Vegetarian
"Radisson Blu Hotel, Dubai Deira Creek",no,no,no,no,no,no,no,Continental,Full English/Irish,Vegetarian
Ibis Deira City Centre,yes,no,yes,no,no,no,no,American,,
Al Khoory Sky Garden Hotel,no,no,no,no,no,no,yes,Continental,,
MRA Grand Hotel,yes,yes,yes,no,no,no,no,Continental,,
Ibis Mall Of The Emirates,no,no,yes,no,no,no,no,Continental,Halal,
Mercure Hotel Apartments Dubai Barsha Heights,no,no,no,no,no,no,no,Continental,Full English/Irish,Vegetarian
"Holiday Inn Express Dubai, Jumeirah, an IHG Hotel",no,no,yes,no,no,no,no,Continental,,
Premier Inn Dubai International Airport,no,no,yes,no,yes,no,no,Continental,Full English/Irish,Halal
Avani Ibn Battuta Dubai Hotel,no,no,no,no,no,yes,no,Continental,Full English/Irish,Vegetarian
Rove At The Park,no,no,no,no,no,no,no,Continental,Full English/Irish,Halal
"Holiday Inn Express Dubai Safa Park, an IHG Hotel",no,no,yes,no,no,no,no,Continental,Full English/Irish,Vegetarian
DoubleTree by Hilton Hotel and Residences Dubai – Al Barsha,yes,yes,no,no,no,no,yes,Continental,Full English/Irish,Vegetarian
Novotel Dubai Al Barsha,no,no,no,no,no,no,yes,Continental,Vegetarian,Halal
Park Regis Kris Kin Hotel,no,no,yes,no,yes,no,no,Continental,Vegetarian,Halal
RAF Hotel Apartments,yes,no,yes,no,no,no,no,Continental,Italian,Full English/Irish
Cube Hotel Dubai formerly Al Buraq Hotel Al Ras,yes,yes,yes,no,no,no,no,,,
"Millennium Plaza Downtown, Dubai",no,no,no,no,no,no,no,Continental,Vegetarian,Halal
"Copthorne Lakeview Hotel Dubai, Green Community",no,yes,no,no,no,no,no,Continental,Vegetarian,Halal
"Aloft Me'aisam, Dubai",no,no,yes,no,yes,no,no,Full English/Irish,Vegetarian,Halal
Restay adderss dubai mall,no,no,yes,no,yes,no,no,,,
"Al Seef Heritage Hotel Dubai, Curio Collection by Hilton",no,yes,yes,no,no,no,yes,Full English/Irish,Vegetarian,Vegan
Citymax Hotel Bur Dubai,no,no,yes,no,yes,no,no,,,
City Seasons Towers Hotel Bur Dubai,yes,no,yes,no,no,no,no,Continental,,
Hilton Garden Inn Dubai Al Muraqabat - Deira,no,no,no,no,no,no,no,Continental,Vegetarian,Halal
Swissôtel Al Murooj Dubai,no,yes,yes,no,no,no,no,Continental,Full English/Irish,Asian
Sofitel Dubai The Obelisk,no,no,no,no,no,yes,no,Continental,Full English/Irish,Vegetarian
Dorus Hotel,yes,no,yes,no,yes,no,no,Continental,Vegetarian,
Aloft Dubai Creek,no,no,no,no,no,no,yes,Continental,Full English/Irish,Vegetarian
OSTAY - Address Dubai Mall -The residence,no,no,yes,no,no,no,no,Continental,Italian,Vegan
"Le Meridien Dubai Hotel, Royal Club & Conference Centre",no,no,no,no,no,no,no,Continental,Full English/Irish,Vegetarian
Ramada Downtown Dubai,no,no,yes,no,no,no,no,Continental,Full English/Irish,Vegetarian
Novotel Bur Dubai - Healthcare City,no,no,yes,no,no,no,no,Continental,,
Shangri-La Dubai,no,no,no,no,no,no,no,Continental,,
"Radisson Blu Hotel, Dubai Waterfront",no,no,yes,no,no,no,no,Full English/Irish,Vegetarian,Vegan
"V Hotel Dubai, Curio Collection by Hilton",no,no,no,no,no,no,yes,Continental,Full English/Irish,Vegetarian
Beach Walk Hotel Jumeirah,no,no,no,yes,no,no,no,Continental,,
Mövenpick Hotel Apartments Al Mamzar Dubai,no,yes,yes,no,no,no,no,Continental,Full English/Irish,Vegetarian
TRYP by Wyndham Dubai,no,no,yes,no,no,no,no,,,
eStay Inn Hotel,no,no,yes,no,no,no,no,Continental,Vegetarian,American
Mercure Hotel Apartments Dubai Barsha Heights,no,no,no,no,no,no,no,Continental,Full English/Irish,Vegetarian
DoubleTree by Hilton Dubai - Business Bay,no,no,no,no,no,no,no,Continental,Full English/Irish,Vegetarian
The S Hotel Al Barsha,no,no,yes,no,no,no,yes,Continental,Italian,Full English/Irish
Vida Creek Beach Hotel,no,no,yes,no,no,no,no,Continental,Halal,Buffet
Hilton Dubai Al Habtoor City,no,no,yes,no,no,no,no,Continental,Italian,Full English/Irish
Super 8 by Wyndham Dubai Deira,yes,no,yes,no,no,no,yes,Continental,Asian,
DoubleTree by Hilton Hotel and Residences Dubai – Al Barsha,yes,yes,no,no,no,no,yes,Continental,Full English/Irish,Vegetarian
Millennium Central Downtown,yes,no,no,no,no,no,yes,Continental,Vegetarian,Halal
Park Inn by Radisson Dubai Motor City,no,no,no,no,yes,no,no,Continental,Full English/Irish,Vegetarian
Millennium Place Barsha Heights Hotel Apartments,no,no,yes,no,no,no,no,Continental,Vegetarian,Halal
Beach Walk Boutique Jumeirah,yes,yes,yes,no,no,no,no,Continental,Full English/Irish,Vegetarian
Three 888 Hotel,no,yes,yes,yes,no,no,no,American,,
DoubleTree by Hilton Dubai M Square Hotel & Residences,no,no,no,no,no,no,no,Continental,Italian,Full English/Irish
Taj Dubai,no,no,no,no,yes,no,no,Continental,Vegetarian,Halal
Premier Inn Dubai Dragon Mart,no,yes,yes,no,no,no,no,Continental,Italian,Full English/Irish
Hampton By Hilton Dubai Al Barsha,no,no,no,yes,no,yes,no,Continental,Halal,
Millennium Plaza Downtown Suites,no,yes,no,no,no,no,no,Continental,Vegetarian,Halal
Hampton by Hilton Dubai Al Seef,no,yes,no,yes,no,no,no,Continental,Vegetarian,Halal
Gulf Court Hotel Business Bay,no,no,no,no,no,no,no,Italian,Vegetarian,Halal
"Rove La Mer Beach, Jumeirah",no,no,no,no,no,no,no,Continental,Full English/Irish,Vegetarian
KSK Homes Hotel Dubai Academic City,no,no,no,no,no,no,no,Continental,,
Mövenpick Hotel Apartments Al Mamzar Dubai,no,yes,yes,no,no,no,no,Continental,Full English/Irish,Vegetarian
"The Apartments, Dubai World Trade Centre Hotel Apartments",no,yes,no,no,no,no,no,Continental,Halal,
Raintree Rolla Hotel,yes,no,yes,no,no,no,no,,,
"Arabian Park Dubai, an Edge by Rotana Hotel",no,no,yes,no,no,no,no,Continental,Vegetarian,Halal
Holiday International Hotel Embassy District,no,no,no,no,no,no,no,Continental,Full English/Irish,Vegan
